kind,id,name,fieldsToReview,basis
denizen,31,Fire Talkers,rulesText,official base data or visual review of print card
denizen,33,Spirit Snare,rulesText,official base data or visual review of print card
denizen,34,Wizard School,rulesText,official base data or visual review of print card
denizen,35,Dazzle,rulesText,official base data or visual review of print card
denizen,36,Acting Troupe,rulesText,official base data or visual review of print card
denizen,37,Taming Charm,rulesText,official base data or visual review of print card
denizen,55,Secret Signal,rulesText,official base data or visual review of print card
denizen,56,Augury,rulesText,official base data or visual review of print card
denizen,57,Rusting Ray,rulesText,official base data or visual review of print card
denizen,59,Billowing Fog,rulesText,official base data or visual review of print card
denizen,60,Kindred Warriors,rulesText,official base data or visual review of print card
denizen,61,Terror Spells,rulesText,official base data or visual review of print card
denizen,62,Blood Pact,rulesText,official base data or visual review of print card
denizen,63,Revelation,rulesText,official base data or visual review of print card
denizen,64,Observatory,rulesText,official base data or visual review of print card
denizen,65,Plague Engines,rulesText,official base data or visual review of print card
denizen,66,Gleaming Armor,rulesText,official base data or visual review of print card
denizen,68,Jinx,rulesText,official base data or visual review of print card
denizen,69,Tutor,rulesText,official base data or visual review of print card
denizen,70,Dream Thief,rulesText,official base data or visual review of print card
denizen,71,Cracking Ground,rulesText,official base data or visual review of print card
denizen,72,Sealing Ward,rulesText,official base data or visual review of print card
denizen,73,Initiation Rite,rulesText,official base data or visual review of print card
denizen,76,Map Library,rulesText,official base data or visual review of print card
denizen,77,Witch's Bargain,rulesText,official base data or visual review of print card
denizen,78,Master of Disguise,rulesText,official base data or visual review of print card
denizen,11,Errand Boy,rulesText,official base data or visual review of print card
denizen,39,Wolves,rulesText,official base data or visual review of print card
denizen,40,Animal Playmates,rulesText,official base data or visual review of print card
denizen,41,True Names,rulesText,official base data or visual review of print card
denizen,42,The Old Oak,rulesText,official base data or visual review of print card
denizen,43,Forest Paths,rulesText,official base data or visual review of print card
denizen,45,Rangers,rulesText,official base data or visual review of print card
denizen,46,Roving Terror,rulesText,official base data or visual review of print card
denizen,175,Nature Worship,rulesText,official base data or visual review of print card
denizen,176,Birdsong,rulesText,official base data or visual review of print card
denizen,177,Small Friends,rulesText,official base data or visual review of print card
denizen,178,Grasping Vines,rulesText,official base data or visual review of print card
denizen,179,Threatening Roar,rulesText,official base data or visual review of print card
denizen,180,Fae Merchant,rulesText,official base data or visual review of print card
